source,target,weight
1009282,1009524,5
1009282,1010370,2
1009282,1009337,1
1009282,1009182,2
1009282,1011490,19
1009282,1009508,1
1009282,1009466,50
1009282,1011299,8
1009282,1009219,1
1009282,1009719,6
1009282,1009554,2
1009282,1009372,4
1009282,1009499,1
1009282,1009343,5
1009282,1009452,17
1009282,1009389,13
1009282,1009224,7
1009282,1009652,18
1009282,1009288,3
1009282,1009480,7
1009282,1009267,3
1009282,1010738,1
1009282,1011023,24
1009282,1009379,7
1009282,1009477,1
1009282,1009608,31
1009282,1009312,15
1009282,1009327,4
1009282,1016181,1
1009282,1009382,6
1009282,1010373,2
1009282,1009297,6
1009282,1009638,3
1009282,1009325,9
1009282,1009577,4
1009282,1009722,1
1009282,1010354,10
1009629,1009366,23
1009629,1009175,207
1009629,1009243,453
1009629,1009515,4
1009629,1009187,67
1009629,1010791,17
1009629,1009459,42
1009629,1009546,273
1009629,1009472,348
1009629,1009592,7
1009629,1009338,25
1009629,1009362,165
1009629,1009159,139
1009629,1009697,17
1009629,1009313,201
1009629,1009214,45
1009629,1009562,26
1009629,1009471,9
1009629,1009189,10
1009629,1010338,5
1009629,1009583,25
1009629,1009724,6
1009629,1009512,175
1009629,1009707,24
1009629,1009281,11
1009629,1009417,115
1009629,1011336,6
1009629,1009407,1
1009629,1009504,109
1009629,1009310,75
1009629,1009367,1
1009629,1009318,1
1009629,1009215,6
1009629,1009524,34
1009629,1010370,7
1009629,1009337,77
1009629,1009182,143
1009629,1011490,4
1009629,1009508,74
1009629,1009466,23
1009629,1009219,78
1009629,1009719,5
1009629,1011109,16
1009629,1009554,28
1009629,1009499,64
1009629,1009343,7
1009629,1009277,32
1009629,1009452,3
1009629,1009389,4
1009629,1009609,3
1009629,1009224,20
1009629,1010771,4
1009629,1009652,2
1009629,1009288,3
1009629,1009381,75
1009629,1009365,1
1009629,1009267,35
1009629,1010738,6
1009629,1009705,29
1009629,1009477,3
1009629,1009608,1
1009629,1009312,6
1009629,1009327,63
1009629,1009382,28
1009629,1009297,4
1009629,1009638,29
1009629,1009325,1
1009629,1009722,20
1009629,1010354,19
1009366,1009175,14
1009366,1009243,19
1009366,1009515,8
1009366,1009187,39
1009366,1010791,27
1009366,1009459,537
1009366,1009546,13
1009366,1009472,8
1009366,1009592,47
1009366,1009338,12
1009366,1009362,13
1009366,1009159,8
1009366,1009697,32
1009366,1009313,9
1009366,1009214,2
1009366,1009562,29
1009366,1009471,27
1009366,1009189,12
1009366,1010338,39
1009366,1009583,95
1009366,1009724,1
1009366,1009512,5
1009366,1009707,27
1009366,1009281,127
1009366,1009417,7
1009366,1009708,5
1009366,1009407,5
1009366,1009504,11
1009366,1009310,7
1009366,1009367,4
1009366,1009318,11
1009366,1009215,6
1009366,1009524,17
1009366,1010370,5
1009366,1009337,1
1009366,1009182,7
1009366,1011490,14
1009366,1009508,2
1009366,1009466,50
1009366,1009219,6
1009366,1009719,11
1009366,1009554,3
1009366,1009372,8
1009366,1009499,1
1009366,1009343,10
1009366,1009277,1
1009366,1009452,4
1009366,1009389,6
1009366,1009609,6
1009366,1009224,6
1009366,1010771,1
1009366,1009652,10
1009366,1009288,4
1009366,1009365,25
1009366,1009480,2
1009366,1010738,5
1009366,1009379,2
1009366,1009477,10
1009366,1009608,6
1009366,1009312,63
1009366,1009327,9
1009366,1009382,2
1009366,1009297,12
1009366,1009638,4
1009366,1009325,1
1009366,1010354,8
1009175,1009243,167
1009175,1009515,3
1009175,1009187,34
1009175,1010791,22
1009175,1009459,26
1009175,1009546,167
1009175,1009472,108
1009175,1009592,9
1009175,1009338,33
1009175,1009362,324
1009175,1009159,256
1009175,1009697,53
1009175,1009313,165
1009175,1009214,44
1009175,1009562,60
1009175,1009471,11
1009175,1009189,33
1009175,1010338,6
1009175,1009583,18
1009175,1009724,10
1009175,1009512,138
1009175,1009707,29
1009175,1009281,16
1009175,1009417,63
1009175,1009708,1
1009175,1011336,11
1009175,1009407,6
1009175,1009504,122
1009175,1009310,129
1009175,1009367,4
1009175,1009318,2
1009175,1009215,15
1009175,1009524,46
1009175,1010370,2
1009175,1009337,58
1009175,1009182,112
1009175,1011490,16
1009175,1009508,76
1009175,1009466,18
1009175,1011299,1
1009175,1009219,62
1009175,1009719,33
1009175,1009554,39
1009175,1009372,1
1009175,1009499,50
1009175,1009343,19
1009175,1009277,15
1009175,1009452,12
1009175,1009389,1
1009175,1009609,1
1009175,1009224,9
1009175,1010771,2
1009175,1009652,6
1009175,1009381,67
1009175,1009365,3
1009175,1009267,27
1009175,1010738,24
1009175,1009705,29
1009175,1011023,8
1009175,1009379,2
1009175,1009477,2
1009175,1009608,11
1009175,1009312,4
1009175,1009327,76
1009175,1009382,20
1009175,1009297,10
1009175,1009638,32
1009175,1009325,5
1009175,1009577,1
1009175,1009722,8
1009175,1010354,10
1009243,1009515,4
1009243,1009187,6
1009243,1010791,15
1009243,1009459,39
1009243,1009546,253
1009243,1009472,392
1009243,1009592,5
1009243,1009338,19
1009243,1009362,136
1009243,1009159,124
1009243,1009697,17
1009243,1009313,121
1009243,1009214,41
1009243,1009562,24
1009243,1009471,8
1009243,1009189,7
1009243,1010338,3
1009243,1009583,22
1009243,1009724,20
1009243,1009512,151
1009243,1009707,26
1009243,1009281,9
1009243,1009417,125
1009243,1011336,8
1009243,1009407,5
1009243,1009504,99
1009243,1009310,89
1009243,1009318,3
1009243,1009215,1
1009243,1009524,27
1009243,1010370,5
1009243,1009337,99
1009243,1009182,61
1009243,1011490,4
1009243,1009508,148
1009243,1009466,25
1009243,1009219,39
1009243,1009719,4
1009243,1011109,2
1009243,1009554,27
1009243,1009499,56
1009243,1009343,4
1009243,1009277,47
1009243,1009452,1
1009243,1009389,2
1009243,1009224,17
