电影名,类型,上映日期,时长（分）,导演,主要演员,全部演员,票房,豆瓣链接,豆瓣评分,豆瓣评分人数,豆瓣短评数,豆瓣长评数,猫眼评分,时光网评分,imdb评分
灵魂当铺之时间典当,爱情 科幻 悬疑,2018-03-09(中国大陆),86,刘赫尧,乔乔 蒋方婷 曹卫宇,乔乔 蒋方婷 曹卫宇 姚奕辰 赵曼竹,128,https://movie.douban.com/subject/27085923/,,0,95,1,5.5,4.5,0
监狱犬计划,剧情 喜剧,2018-06-21(中国大陆),98,郭大雷,郝蕾 刘帅良 裴魁山,郝蕾 刘帅良 裴魁山 韩彦博 大力 阿如那 刘慧,125,https://movie.douban.com/subject/27166974/,3.9,685,248,43,7.3,5.8,
一百年很长吗,纪录片,2018-12-01(中国大陆),106,萧寒,黄忠坚 张雪菲 阿合特,黄忠坚 张雪菲 阿合特,124,https://movie.douban.com/subject/30359014/,7.0,2083,1052,92,8.1,,
忠犬大营救,剧情 爱情 冒险,2018-11-23(中国大陆),90,张帆,靓仔 小金 刘晓晔,靓仔 小金 刘晓晔 纪帅 吴晴 杨舒涵 张山 黄一飞 徐浩霖 施羽,121,https://movie.douban.com/subject/27662353/,,0,57,5,,,
非洲遇见你,喜剧 动作 爱情,2018-10-19(中国大陆),,崔燕,杨玥 王梓权 德温·沃勒尔,杨玥 王梓权 德温·沃勒尔 缪艺豪 王往 张杨智子 安东尼·加瓦德 杨名 黄锦江,114,https://movie.douban.com/subject/27201451/,,0,10,8,,,0
我要去远方,剧情 喜剧 爱情,2018-10-16(中国大陆),97,孙传林,何为 魏嘉镁 贺云庆,何为 魏嘉镁 贺云庆 韩伯维,112,https://movie.douban.com/subject/30196863/,,0,33,33,,,
海龙屯,纪录片,2018-07-13(中国大陆),81,朱晶,张先童 李秋盛 曹彦锋,张先童 李秋盛 曹彦锋 戚畅,108,https://movie.douban.com/subject/27114204/,,0,50,49,,0.0,
蓝色金鱼,爱情 冒险,2018-06-04(中国大陆),87,唐明智,朱孝天 蓝燕 曲木古火·秋风,朱孝天 蓝燕 曲木古火·秋风 闫鹿杨,106,https://movie.douban.com/subject/30215189/,,0,74,5,,,
三国杀·幻,动作 爱情 悬疑,2018-11-09(中国大陆),94,吕柯憬,郑伊健 于荣光 谢天华,郑伊健 于荣光 谢天华 贾青 林晓峰 逯子 靳芊芊 王铮 李成敏 叶无道 邱雨铄 高健 方平,105,https://movie.douban.com/subject/25857301/,,0,126,16,7.1,5.6,
台仙魔咒,悬疑 惊悚,2018-11-02(中国大陆),88,宋睿,罗翔 刘书含  叶常清,罗翔 刘书含  叶常清 曾漪莲 刘婧,101,https://movie.douban.com/subject/27079337/,,0,18,0,,0.0,
最后的棒棒,纪录片,2018-08-17(中国大陆),99,何苦,何苦,何苦,101,https://movie.douban.com/subject/30254589/,6.6,2184,966,69,9,6.4,
无眸之杀,悬疑 惊悚,2018-03-23(中国大陆),82,沈嵘,洪秀儿 李雅男 袁伶嫣,洪秀儿 李雅男 袁伶嫣 于非,98,https://movie.douban.com/subject/26737491/,,0,153,2,5.6,6.2,
泡菜爱上小龙虾,喜剧 奇幻,2018-06-15(中国大陆),100,虞军豪,金起范 徐申东 元华,金起范 徐申东 元华 陈德容 苑琼丹 张兆辉 王惠乔 虞尊翔,95,https://movie.douban.com/subject/26425435/,2.5,452,182,12,,3.8,
萌学园：寻找盘古,儿童 奇幻 冒险,2018-07-28(中国大陆),96,李权峰,李昂霖 林奕勋 刘书宏,李昂霖 林奕勋 刘书宏 翁瑞迪 蔡孟颖 林昀希 傅冠杰 杨子仪 朱晴渝 郭侑纪 时男 刘碑歌 曹曦月 海铃 夏宇童 许京川,86,https://movie.douban.com/subject/26754880/,,0,106,7,,,
张艺谋和他的“影”,纪录片,2018-10-12(中国大陆),94,汪鹏,张艺谋 赵小丁 陈敏正,张艺谋 赵小丁 陈敏正 马光荣 谷轩昭 白小妍 王星会 黄海 捞仔 张涛 封柏 贾文瑞 任茂成 邓超 孙俪 郑恺 王千源 胡军 关晓彤 吴磊 王景春,82,https://movie.douban.com/subject/30255138/,7.1,5890,1946,21,8.9,7.1,
姽婳,惊悚 恐怖,2018-06-29(中国大陆),92,尚永峰,闫鹿杨 姜文轩 赵婉娇,闫鹿杨 姜文轩 赵婉娇 李铁军 刘冰玥 宋国鑫 闫冠英 于飞 于洛熙,76,https://movie.douban.com/subject/30241999/,,0,153,4,4.3,,
一纸婚约,剧情 爱情,2018-06-08(中国大陆),93,张辉,刘熙阳 张辉 张一山,刘熙阳 张辉 张一山 杨紫 关晓彤 王劲松,75,https://movie.douban.com/subject/26864182/,2.9,5328,2627,69,6.4,,0
地层深处,纪录片,2018-11-09(中国大陆),90,宋占涛,,,74,https://movie.douban.com/subject/26373536/,6.8,67,32,6,,,0
理想之路,剧情 动作,2018-04-20(中国大陆),88,柯宙,史洪波 张乃元 乐子龙,史洪波 张乃元 乐子龙 王钧康 林伟 李子奇 安德鲁·达兹,73,https://movie.douban.com/subject/27149979/,,0,19,5,,,8.2
北方一片苍茫,剧情,2018-07-20(中国大陆),105,蔡成杰,田天 韩建玲 赵树林,田天 韩建玲 赵树林 李桂苓 郭丰赫 温新宇 王富有 付柄丽 冯淑燕,73,https://movie.douban.com/subject/27079318/,6.8,9524,3978,147,8.2,7.2,6.9
吻隐者,剧情 爱情,2018-09-07(中国大陆),108,李燕宁,谭卓 李至正 孙亦沐,谭卓 李至正 孙亦沐,70,https://movie.douban.com/subject/26928809/,3.8,552,193,15,,,
快乐星球之三十六号,儿童 科幻,2018-06-30(中国大陆),90,张惠民,赵克明 张子扬 马嘉祺,赵克明 张子扬 马嘉祺 张惠民 王天发 孙苏雅 张兆艺,69,https://movie.douban.com/subject/26775743/,,0,225,14,7.8,6.2,
极品师徒,喜剧 动作 爱情,2018-09-21(中国大陆),98,冯万里,战天泽 王翔 叶良财,战天泽 王翔 叶良财 陈沛江 潘章明 崔嵩 刘芮侨 巴多 苏倩薇 战爱春,65,https://movie.douban.com/subject/27597216/,,0,53,14,,,
草戒指,剧情 爱情,2018-09-07(中国大陆),,洪亦平,洪亦平 马靓 黄海冰,洪亦平 马靓 黄海冰 胡锰 孙翔 陈义贞 梁国荣 亢继辉 梅寒,62,https://movie.douban.com/subject/27204180/,,0,16,4,,,
七号公馆,喜剧 悬疑 惊悚,2018-05-11(中国大陆),94,叶天行,梁小龙 张继聪 林雪,梁小龙 张继聪 林雪 邵音音 冉冉 张子栋 陆剑明 王茂蕾 赵铭 武波 松田优 木川圭作 由美子 福留真由美,62,https://movie.douban.com/subject/27065636/,,0,94,6,5.1,,
冥王星时刻,剧情,2018-12-07(中国大陆),110,章明,王学兵 刘丹 曾美慧孜,王学兵 刘丹 曾美慧孜 易平 易大千 李心然 母其弥雅,60,https://movie.douban.com/subject/26887153/,6.6,8736,3884,94,,6.4,6.3
清水里的刀子,剧情,2018-04-04(中国大陆),93,王学博,杨生仓,杨生仓,58,https://movie.douban.com/subject/26593732/,6.6,3694,1475,91,8,6.7,6.5
冰封迷案,悬疑 惊悚,2018-04-20(中国大陆),95,唐宇,卫仑 黄米依 杜翊,卫仑 黄米依 杜翊 苗青 闻诗佳 何靖 韩秋池 聂宁 童雨宸,52,https://movie.douban.com/subject/26760161/,3.7,449,189,18,5.8,,
盲·道,剧情 犯罪,2018-02-02(中国大陆),110,李杨,李杨 杜函梦 于越,李杨 杜函梦 于越 胡明,52,https://movie.douban.com/subject/26415327/,4.9,4090,1661,139,7.4,6.4,5.8
在天堂等我,爱情 灾难,2018-11-30(中国大陆),129,王军,李滨 于非非 毛孩,李滨 于非非 毛孩 李梦男 肥龙 苇青 彭玉 马德华 李勤勤 刘伟 张洪杰 苗苗 娜仁花 赵倩 穆建荣 柏辰 罗赞袭,50,https://movie.douban.com/subject/27180977/,,0,69,17,,,
天下第一镖局,动作 古装,2018-08-24(中国大陆),90,陶盟喜,樊少皇 车永莉 释彦能,樊少皇 车永莉 释彦能 施南 吕良伟 陈之辉 史洪波 巴多 王海祥 徐冬梅 容尔甲 孙明明 李炳雷 答有为 连凯 周浩东 卢惠光 陈超  梁家仁 张宝雯 李炳渊 李长海 张家荣 张衡 李沛泽 田雨晴 陶日金 蒋列 胡蓉蓉 张佳维 金博涵 何梓铭,50,https://movie.douban.com/subject/27107604/,4.2,780,315,22,6.8,5.0,
青春不留白,剧情 喜剧,2018-06-29(中国大陆),97,尹大为,宦宇 高雪儿 马祥睿,宦宇 高雪儿 马祥睿 武文 尹大为 陈俊宇 嘉男海林 黄映莹,48,https://movie.douban.com/subject/27622690/,,0,21,11,,,
血十三,剧情 犯罪 悬疑,2018-06-15(中国大陆),99,李聆聪,黄璐 谢钢 钱波,黄璐 谢钢 钱波 李恒 李滨,47,https://movie.douban.com/subject/26888820/,4.2,1022,345,30,,5.4,4.8
进击的男孩,喜剧 爱情,2018-12-07(中国大陆),94,许添,李艾 庞瀚辰 包文婧,李艾 庞瀚辰 包文婧 李林 蒋诗萌 黄晋琨 马睿 许添,46,https://movie.douban.com/subject/27204895/,,0,130,19,,,
