Source,Target,Type,Id,Label,timeset,Weight,,,,,
1009351,1009707,Undirected,17813,,,72,,,,,
1009187,1009338,Undirected,18695,,,72,,,,,
1009472,1009337,Undirected,18946,,,72,,,,,
1009610,1009515,Undirected,17240,,,71,,,,,
1009262,1009288,Undirected,18066,,,71,,,,,
1009338,1009608,Undirected,19078,,,71,,,,,
1009313,1009504,Undirected,19257,,,71,,,,,
1009562,1011490,Undirected,19352,,,71,,,,,
1009368,1009257,Undirected,17416,,,70,,,,,
1009165,1009215,Undirected,17740,,,70,,,,,
1009362,1009504,Undirected,19105,,,70,,,,,
1009417,1009504,Undirected,19722,,,70,,,,,
1009368,1009215,Undirected,17454,,,69,,,,,
1009165,1009471,Undirected,17723,,,69,,,,,
1009257,1009381,Undirected,18214,,,69,,,,,
1009718,1009215,Undirected,17628,,,68,,,,,
1009662,1009466,Undirected,18125,,,68,,,,,
1009726,1009214,Undirected,17344,,,67,,,,,
1009718,1009459,Undirected,17600,,,67,,,,,
1009718,1009214,Undirected,17609,,,67,,,,,
1009356,1009707,Undirected,17970,,,67,,,,,
1009629,1009187,Undirected,18371,,,67,,,,,
1009175,1009381,Undirected,18555,,,67,,,,,
1009159,1009504,Undirected,19156,,,67,,,,,
1009512,1009267,Undirected,19627,,,67,,,,,
1009610,1010338,Undirected,17256,,,66,,,,,
1009220,1009257,Undirected,17505,,,66,,,,,
1009356,1009466,Undirected,17986,,,66,,,,,
1009356,1009312,Undirected,18005,,,66,,,,,
1009362,1009417,Undirected,19101,,,66,,,,,
1009697,1009189,Undirected,19199,,,66,,,,,
1009368,1009629,Undirected,17419,,,65,,,,,
1009299,1009466,Undirected,17913,,,65,,,,,
1009257,1009219,Undirected,18200,,,65,,,,,
1009257,1009499,Undirected,18204,,,65,,,,,
1009472,1009499,Undirected,18955,,,65,,,,,
1009214,1009182,Undirected,19308,,,65,,,,,
1009215,1009608,Undirected,19966,,,65,,,,,
1009726,1009722,Undirected,17405,,,64,,,,,
1009368,1010791,Undirected,17425,,,64,,,,,
1009220,1009299,Undirected,17501,,,64,,,,,
1009220,1009546,Undirected,17516,,,64,,,,,
1009718,1009356,Undirected,17587,,,64,,,,,
1009718,1009282,Undirected,17592,,,64,,,,,
1009629,1009499,Undirected,18411,,,64,,,,,
1010338,1009707,Undirected,19483,,,64,,,,,
1009610,1009257,Undirected,17233,,,63,,,,,
1009610,1009583,Undirected,17257,,,63,,,,,
1009718,1009327,Undirected,17662,,,63,,,,,
1009351,1009583,Undirected,17810,,,63,,,,,
1009629,1009327,Undirected,18429,,,63,,,,,
1009366,1009312,Undirected,18495,,,63,,,,,
1009175,1009417,Undirected,18525,,,63,,,,,
1009472,1009417,Undirected,18938,,,63,,,,,
1009512,1009337,Undirected,19607,,,63,,,,,
1009175,1009219,Undirected,18542,,,62,,,,,
1009368,1009281,Undirected,17444,,,61,,,,,
1009268,1009214,Undirected,18248,,,61,,,,,
1009243,1009182,Undirected,18605,,,61,,,,,
1009243,1009267,Undirected,18624,,,61,,,,,
1009546,1009267,Undirected,18911,,,61,,,,,
1009362,1009381,Undirected,19126,,,61,,,,,
1009351,1009366,Undirected,17790,,,60,,,,,
1009356,1010338,Undirected,17967,,,60,,,,,
1009257,1009214,Undirected,18175,,,60,,,,,
1009175,1009562,Undirected,18516,,,60,,,,,
